mcts_task_by_completion_reward_gradient,2,2,100,28.6366,1628.18
mcts_task_by_completion_reward_gradient,2,2,100,33.6765,1794.5
mcts_task_by_completion_reward_gradient,2,2,100,37.8061,1956.69
mcts_task_by_completion_reward_gradient,2,2,100,41.1959,2115.5
mcts_task_by_completion_reward_gradient,2,2,100,46.4464,2269.05
mcts_task_by_completion_reward_gradient,2,2,100,57.436,2411.61
mcts_task_by_completion_reward_gradient,2,2,100,60.596,2551.02
mcts_task_by_completion_reward_gradient,2,2,100,65.0568,2685.96
mcts_task_by_completion_reward_gradient,2,2,100,65.1958,2820.77
mcts_task_by_completion_reward_gradient,2,2,100,67.8462,2952.92
mcts_task_by_completion_reward_gradient,2,2,100,74.3957,3078.52
mcts_task_by_completion_reward_gradient,2,2,100,77.5952,3200.93
mcts_task_by_completion_reward_gradient,2,2,100,82.7953,3318.13
mcts_task_by_completion_reward_gradient,2,2,100,99.1962,3418.94
mcts_task_by_completion_reward_gradient,2,2,100,103.396,3515.54
mcts_task_by_completion_reward_gradient,2,2,100,108.606,3606.94
mcts_task_by_completion_reward_gradient,2,2,100,122.195,3684.74
mcts_task_by_completion_reward_gradient,2,2,100,133.247,3751.49
mcts_task_by_completion_reward_gradient,2,2,100,136.395,3815.1
mcts_task_by_completion_reward_gradient,3,2,100,5.99554,194.004
mcts_task_by_completion_reward_gradient,3,2,100,10.8742,383.13
mcts_task_by_completion_reward_gradient,3,2,100,18.5955,564.535
mcts_task_by_completion_reward_gradient,3,2,100,19.6458,744.889
mcts_task_by_completion_reward_gradient,3,2,100,21.8739,923.015
mcts_task_by_completion_reward_gradient,3,2,100,25.8264,1097.19
mcts_task_by_completion_reward_gradient,3,2,100,26.3936,1270.8
mcts_task_by_completion_reward_gradient,3,2,100,30.9952,1439.8
mcts_task_by_completion_reward_gradient,3,2,100,33.9936,1605.81
mcts_task_by_completion_reward_gradient,3,2,100,44.593,1761.21
mcts_task_by_completion_reward_gradient,3,2,100,65.2468,1895.97
mcts_task_by_completion_reward_gradient,3,2,100,71.8756,2024.09
mcts_task_by_completion_reward_gradient,3,2,100,74.676,2149.42
mcts_task_by_completion_reward_gradient,3,2,100,75.4466,2273.97
mcts_task_by_completion_reward_gradient,3,2,100,85.8457,2388.12
mcts_task_by_completion_reward_gradient,3,2,100,89.8757,2498.25
mcts_task_by_completion_reward_gradient,3,2,100,96.8462,2601.4
mcts_task_by_completion_reward_gradient,3,2,100,101.995,2699.41
mcts_task_by_completion_reward_gradient,3,2,100,108.046,2791.36
